"p1.20160322"	"p1.20160401"	"p3.20160322"	"p3.20160401"	"p3.20160714"	"p3.20160811"	"p4.20160322"	"p4.20160401"	"p4.20160415"	"p4.20160713"	"p4.20160727"	"p5.20160322"	"p5.20160415"	"p5.20160715"	"p5.20160817"	"p6.20160322"	"p6.20160415"	"p6.20160701"	"p6.20160726"	"p7.20160322"	"p7.20160415"	"p7.20160713"	"p7.20160729"	"p8.20160720"	"p8.20160825"
"102"	43	131	159	256	26	21	20	0	20	3	13	2	0	2	25	8	0	0	0	2	0	0	0	20	14
"103"	598	7308	11627	3318	2210	504	3588	6714	2512	728	1500	31	279	97	213	18	475	27	19	2	7	92	18	2	16
"104"	186	1875	3812	3015	452	658	1953	1915	1724	371	293	20	48	54	57	21	66	68	27	2	24	51	38	268	38
"105"	3158	23004	74254	27011	2696	3624	25891	25781	15008	3551	5563	418	1331	353	518	456	1255	231	75	148	154	602	127	402	342
"106"	523	2237	9914	3668	692	2544	2684	4150	1871	643	935	133	329	411	395	66	422	68	51	23	42	72	51	490	352
"107"	2443	12013	35643	14861	2532	14294	12485	11682	6207	2420	5641	437	780	574	705	246	732	469	141	133	316	420	385	329	313
"108"	800	2145	8994	3311	346	903	2705	2286	1254	413	669	25	47	67	63	7	86	11	5	4	2	6	33	15	10
"109"	226	3028	2541	5264	919	1114	19444	6581	13939	2015	1392	404	2010	398	5501	369	1451	1016	375	62	714	650	489	597	1352
"110"	47	32	66	56	37	5	8	54	53	19	2	291	96	89	39	254	172	68	38	365	218	163	20	351	146
"111"	101	0	94	22	32	11	1541	12	7	160	10	10	11	40	26	0	23	2	0	3	0	2	0	0	0
"112"	315	5699	9384	4220	802	1181	3018	3327	2126	833	1332	670	655	475	693	552	633	2116	480	349	503	1500	1546	1462	1645
"113"	217	3023	6396	3490	6890	1061	5223	5003	1550	1225	2790	281604	347631	139510	113725	177791	258656	454757	541932	185965	91524	160058	392866	347163	112826
"114"	49	966	887	846	88	65	674	558	529	77	178	44	85	20	37	102	69	86	24	31	10	111	52	117	72
"115"	260	9693	11783	8751	836	1248	7189	4618	5285	1083	1118	209	454	311	612	38	347	148	32	33	45	188	66	498	1584
"116"	605	1084	9070	2178	283	459	2978	2335	833	296	969	94	51	68	101	22	51	17	8	9	8	17	6	26	37
"117"	114	1243	940	830	121	137	678	561	458	316	137	0	0	0	2	0	21	2	0	0	0	6	10	0	0
"118"	54	14	812	299	114	32	545	17	206	92	6	87	65	33	56	105	146	76	107	22	89	72	29	670	261
"119"	270	2128	5288	2224	174	282	1836	2408	1193	395	480	10	108	41	55	4	87	21	4	2	12	32	0	9	36
"120"	1259	11846	22597	12215	1053	2444	9076	8698	5918	1953	2556	777	1114	514	714	458	1440	1644	395	294	402	1484	872	1059	1514
"121"	144	576	1740	1359	154	32	639	1885	753	288	126	42	139	12	38	0	46	6	0	4	6	557	0	4	38
"122"	91	50050	29322	142038	35946	58976	5843	527265	317009	294895	234493	2588	38233	61863	57511	2019	32355	2871	2474	445	851	12723	1928	4394	17506
"123"	390	1682	4993	2774	585	807	1231	919	1834	521	442	13	162	120	157	0	177	7	4	4	28	13	0	4	19
"124"	86	5	10	437	184	172	111	42	79	42	71	49	113	25	8	27	95	96	9	25	29	56	14	17	10
"125"	160	335	2394	241	120	282	382	147	149	150	135	18	39	72	40	4	80	21	5	4	0	22	4	8	15
"126"	583	2555	7436	2884	673	536	6229	1814	1363	785	997	43	198	117	69	16	171	35	8	16	51	136	8	113	202
"127"	51	711	460	526	30	8	48	338	13	7	225	2	20	5	31	13	14	20	4	2	14	176	2	41	64
"128"	67	155	275	120	89	64	199	144	63	6	77	14	0	24	27	0	22	8	0	0	0	0	0	0	0
"129"	70	18	1095	125	139	83	94	301	135	85	86	94	272	42	265	106	191	197	204	26	137	501	39	63	164
"130"	89	719	1777	1388	270	367	462	505	524	183	338	251	356	226	152	106	380	74	37	26	33	148	63	331	501
"132"	55	48	91	77	126	830	90	81	109	149	93	2	4	23	29	2	42	14	2	0	2	21	2	11	70
"133"	48	809	755	344	82	89	202	69	247	23	83	384	464	132	128	174	870	395	87	297	1095	359	177	364	87
"134"	115	1136	2046	1131	84	220	762	702	466	183	178	46	52	12	47	24	169	20	4	5	0	65	4	13	12
"135"	523	14005	15901	12903	1381	2327	8380	9722	5868	4190	6118	1623	3862	3443	6210	2278	3941	143	360	178	974	1509	174	28242	56939
"136"	78	152	830	791	57	149	111	163	77	125	195	0	16	8	24	0	12	0	7	0	0	2	4	0	0
"137"	94	79	86	18	174	20	87	19	47	112	13	108	295	27	86	117	83	43	48	16	17	75	73	40	40
"138"	69	603	311	508	26	100	710	252	571	112	144	33	15	47	49	14	35	2	8	0	5	11	20	33	113
"139"	69	19	38	19	175	426	720	492	604	19	71	33	202	18	15	2	166	6	6	10	17	2	5	33	29
"140"	45	279	488	25	64	28	45	46	45	71	12	2	7	16	21	0	18	9	0	0	2	11	0	10	12
