"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"139"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadaceae"	"Unknown"
"140"	"Bacteria"	"candidate division NC10"	"Unknown"	"Unknown"	"Unknown"	"Candidatus Methylomirabilis"
"141"	"Bacteria"	"Candidatus Parcubacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"142"	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Miniphocibacter"
"143"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Unknown"
"144"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Unknown"	"Unknown"
"145"	"Bacteria"	"Planctomycetes"	"Candidatus Brocadiae"	"Candidatus Brocadiales"	"Candidatus Brocadiaceae"	"Candidatus Brocadia"
"146"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfatitalea"
"147"	"Archaea"	"Candidatus Korarchaeota"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"148"	"Bacteria"	"Deinococcus-Thermus"	"Deinococci"	"Thermales"	"Thermaceae"	"Meiothermus"
"149"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Arabia"
"150"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"
"151"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfonatronaceae"	"Desulfonatronum"
"153"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Unknown"	"Unknown"
"154"	"Bacteria"	"Candidatus Riflebacteria"	"Candidatus Ozemobacteria"	"Unknown"	"Candidatus Ozemobacteraceae"	"Candidatus Ozemobacter"
"155"	"Bacteria"	"candidate division WWE3"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"156"	"Bacteria"	"Spirochaetes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"157"	"Bacteria"	"Aquificae"	"Aquificae"	"Desulfurobacteriales"	"Desulfurobacteriaceae"	"Thermovibrio"
"158"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Unknown"	"Unknown"	"Candidatus Kentron"
"159"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"160"	"Bacteria"	"Cyanobacteria"	"Unknown"	"Nostocales"	"Aphanizomenonaceae"	"Aphanizomenon"
"161"	"Bacteria"	"candidate division Zixibacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"162"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Unknown"
"163"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Paracoccus"
"164"	"Archaea"	"Euryarchaeota"	"Candidatus Methanofastidiosa"	"Unknown"	"Unknown"	"Candidatus Methanofastidiosum"
"165"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"166"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"167"	"Bacteria"	"Deinococcus-Thermus"	"Deinococci"	"Deinococcales"	"Deinococcaceae"	"Deinococcus"
"168"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"169"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Brevibacillus"
"170"	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"
"171"	"Bacteria"	"Chloroflexi"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"172"	"Bacteria"	"Candidatus Saccharibacteria"	"Unknown"	"Unknown"	"Unknown"	"Candidatus Saccharimonas"
"173"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"
"174"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"175"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfofarcimen"
"176"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Sinorhizobium"
"177"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Unknown"	"Unknown"
"178"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Unknown"	"Unknown"	"Unknown"
"179"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Unknown"	"Unknown"
"180"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanotrichaceae"	"Methanothrix"
"181"	"Bacteria"	"Candidatus Moranbacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"182"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"
"183"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Unknown"	"Unknown"
"184"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanoregula"
"185"	"Archaea"	"Euryarchaeota"	"Archaeoglobi"	"Archaeoglobales"	"Archaeoglobaceae"	"Ferroglobus"
"186"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XVII. Incertae Sedis"	"Sulfobacillus"
"187"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"
"188"	"Bacteria"	"Aquificae"	"Aquificae"	"Desulfurobacteriales"	"Desulfurobacteriaceae"	"Balnearium"
"189"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"
"190"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Unknown"	"Unknown"
"191"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophobacteraceae"	"Unknown"
"192"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Unknown"	"Unknown"
"193"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Nocardia"
"194"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfonema"
"195"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Dysgonamonadaceae"	"Dysgonomonas"
"196"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Unknown"	"Unknown"
