"Kingdom"	"Superphylum"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"bn_ASV_000088"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae_NS2b"	"uncultured_marine_bacterium"
"ep_ASV_00073"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MOCH"	"MOCH-2"	"MOCH-2_X"	"MOCH-2_XX"	"MOCH-2_XX_sp"
"bn_ASV_000036"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aurantivirga"	"uncultured_bacterium"
"ep_ASV_00078"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-3"	"MAST-3E"	"MAST-3E_X"	"MAST-3E_X_sp"
"ep_ASV_00106"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-1"	"MAST-1C"	"MAST-1C_X"	"MAST-1C_X_sp"
"bn_ASV_000013"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Glaciecola"	"Glaciecola_sp._HTCC2999"
"bn_ASV_000052"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"bp_ASV_000018"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Prochlorococcus_MIT9313"	"uncultured_marine_cyanobacterium"
"ep_ASV_00038"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000133"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_II"	"SAR11_Clade_II"	"uncultured_bacterium"
"ep_ASV_00089"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-7"	"MAST-7B"	"MAST-7B_X"	"MAST-7B_X_sp"
"bp_ASV_000087"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	"unidentified_marine_bacterioplankton"
"en_ASV_00031"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Chaetoceros"	"Chaetoceros_tenuissimus"
"bp_ASV_000399"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_marine_bacterium"
"ep_ASV_00004"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"bn_ASV_000096"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_III"	"SAR11_Clade_III"	"uncultured_bacterium"
"ep_ASV_00066"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000199"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Fluviicola"	"uncultured_bacterium"
"bp_ASV_000184"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_II"	"SAR11_Clade_II"	"uncultured_bacterium"
"ep_ASV_00100"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Ptychodiscaceae"	"Ptychodiscus"	"Ptychodiscus_noctiluca"
"en_ASV_00247"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Gymnodinium"	"Gymnodinium_sp"
"en_ASV_00402"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bp_ASV_000080"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_I"	"SAR11_Clade_Ib"	"uncultured_bacterium"
"bp_ASV_000201"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_IV"	"SAR11_Clade_IV"	"uncultured_marine_bacterium"
"en_ASV_00097"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000092"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_I"	"SAR11_Clade_Ib"	"uncultured_marine_bacterium"
"ep_ASV_00037"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-III"	"Syndiniales-Group-III_X"	"Syndiniales-Group-III_XX"	"Syndiniales-Group-III_XX_sp"
"bn_ASV_000146"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"en_ASV_00375"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000033"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Planktomarina"	"uncultured_bacterium"
"ep_ASV_00047"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Mamiellophyceae"	"Mamiellales"	"Mamiellaceae"	"Micromonas"	"Micromonas_Clade-B..4"
"bn_ASV_000265"	"Bacteria"	"Planctomycetes"	"Planctomycetes"	"Planctomycetacia"	"Pirellulales"	"Pirellulaceae"	"Rubripirellula"	"uncultured_planctomycete_6N14"
"bp_ASV_000096"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_III"	"SAR11_Clade_III"	"uncultured_bacterium"
