ID	M1	D1	D2	DR1	D3	DR2	DR3	D4	D5	R2	R3	M2	DR4	R4	DR5	DR6	D6	D7	DR7	M3	R5	M5	M6	R6	D8	R7	M7	M8	R8
368	0.002007723	0.000833757	0.002155219	0.003528382	0	0.000536276	0.000366604	0	0.000803694	0.001244338	0.003784653	0.003425244	0.00273142	0.000900609	0	0.001431199	0.00077685	0.001281411	0	0.001930055	0.000824838	0.000567769	0	0.000674109	0.002612408	0.004030227	0.008491992	0.001654096	0
369	0	0.000833757	0.002155219	0.003528382	0.001979728	0.001072553	0.000733208	0	0.000401847	0.002488677	0.000946163	0.003425244	0.00273142	0.001801218	0.000784234	0.000715599	0	0.002562821	0.00269646	0.002895082	0.001649675	0	0.001342093	0	0.001492805	0.00302267	0.001698398	0	0
370	0.021415712	0.014173872	0.017241751	0.019053264	0.025736459	0.010725528	0.013197739	0.01033948	0.01808311	0.02115375	0.019869429	0.018838842	0.030045615	0.027018264	0.015684675	0.008587192	0.014760148	0.016017632	0.021571676	0.034740987	0.022270613	0.017600836	0.012078835	0.010785741	0.008583627	0.022670025	0.022079179	0.033081911	0.020152852
371	0	0	0.001436813	0.000705676	0	0	0	0	0.000401847	0	0.000946163	0	0	0	0	0	0	0.000640705	0	0.000965027	0	0	0.000671046	0.000674109	0	0	0	0.003308191	0.00077511
372	2.496938222	1.74672125	2.433960502	2.415530528	3.248732974	3.093242381	1.732203216	3.520248148	2.178010135	4.352695237	3.309679251	3.153793458	3.816703541	3.91764833	1.468085607	1.430483101	1.977082929	1.897769064	2.373783223	3.895815641	3.659804019	1.761786882	1.321290288	1.286199644	2.400056727	2.823173804	3.629477403	3.529839884	3.308168106
373	0.147233023	0.11755976	0.136497195	0.12772744	0.15639848	0.160346649	0.156539846	0.240565225	0.119750373	0.266288388	0.24316397	0.149854427	0.219424035	0.163910804	0.097244987	0.08801872	0.12041173	0.119171184	0.172573411	0.228711495	0.226830314	0.12320585	0.105354279	0.091678801	0.135472025	0.17884131	0.174935036	0.258038904	0.218580929
374	0.077631958	0.047524158	0.063219753	0.076213058	0.081168831	0.090094438	0.034827366	0.080647941	0.047417933	0.115723458	0.109754944	0.080493235	0.091047317	0.129687669	0.031369351	0.04436716	0.06059429	0.048052897	0.065613849	0.106153015	0.127024976	0.049963663	0.04428906	0.035727768	0.072774228	0.073047859	0.093411913	0.124057166	0.09688871
375	0.044169907	0.019176415	0.032328283	0.026110029	0.031675641	0.024668715	0.023096043	0.034464932	0.025316354	0.017420736	0.016084776	0.036821374	0.034597981	0.018012176	0.026663948	0.025045977	0.018644397	0.024346801	0.018875217	0.02219563	0.00989805	0.028388445	0.032881272	0.035727768	0.038812922	0.022670025	0.039063163	0.013232764	0.012401755
376	0.009369374	0.007503814	0.004310438	0.005645412	0.013858093	0.002681382	0.002199623	0.000689299	0.004018469	0.00746603	0.007569306	0.005137866	0.00273142	0.003602435	0.001568468	0.005724795	0.005437949	0.001922116	0.00179764	0.005790164	0.00329935	0.003406613	0.008723603	0.006741088	0.006717621	0.006549118	0.008491992	0.006616382	0.004650658
377	0.001338482	0.007503814	0.004310438	0.010585147	0.001979728	0.001608829	0.001466415	0.003446493	0.002009234	0.001244338	0.012300123	0.009419421	0.013657098	0.001801218	0.002352701	0.003577997	0	0.002562821	0	0.001930055	0.000824838	0.001703307	0.001342093	0.002696435	0.002985609	0.008060453	0.001698398	0.001654096	0.006975987
378	0.024761918	0.012506357	0.009339282	0.008468118	0.009898638	0.016088293	0.0095317	0.003446493	0.046614239	0.004977353	0.00567698	0.005137866	0.034597981	0.032421917	0.052543662	0.009302792	0.007768499	0.012814106	0.012583478	0.010615301	0.000824838	0.042582667	0.020131391	0.0458394	0.011942437	0.01813602	0.023777578	0.009924573	0.04883191
379	0.0261004	0.012506357	0.026581033	0.016230559	0.019797276	0.017697122	0.007332077	0.048940203	0.036568067	0.008710368	0.017977103	0.011988354	0.041881766	0.012608523	0.022742779	0.020752381	0.016313847	0.024346801	0.005392919	0.010615301	0.00329935	0.00510992	0.015434066	0.023593809	0.049635756	0.028715365	0.033967968	0.011578669	0.013951974
380	0.091016778	0.038352829	0.066093378	0.056454117	0.051472917	0.046119772	0.028228497	0.053075995	0.059473339	0.055995222	0.066231432	0.083062168	0.048255078	0.064843834	0.070581039	0.09946831	0.082346087	0.109560604	0.028762235	0.05597159	0.030518988	0.034066134	0.077170332	0.084937712	0.122036783	0.070528967	0.091713514	0.04466058	0.041080813
381	0.027438882	0.0058363	0.017241751	0.016230559	0.00791891	0.009116699	0.008065285	0.008271584	0.024110813	0.006221691	0.013246286	0.024833019	0.020940883	0.005403653	0.019605844	0.018605583	0.020974947	0.018580453	0.007190559	0.016405466	0.008248375	0.005677689	0.012749881	0.0229197	0.023884875	0.016120907	0.030571171	0.019849146	0.010851535
382	0.000669241	0	0.000718406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000671046	0	0	0	0	0	0
383	0.000669241	0.000833757	0.000718406	0.000705676	0	0.000536276	0	0	0	0	0	0	0	0	0.000784234	0	0	0.000640705	0	0	0.000824838	0	0.000671046	0	0.000746402	0	0	0	0
384	0.005353928	0.001667514	0.000718406	0.000705676	0.00791891	0.000536276	0.000366604	0.000689299	0.001205541	0.002488677	0.000946163	0.001712622	0	0.000900609	0.002352701	0.000715599	0.00233055	0.003203526	0.00089882	0.001930055	0	0.000567769	0.000671046	0	0.001492805	0.001511335	0.003396797	0	0.00077511
385	0.012046338	0.012506357	0.007902469	0.010585147	0.005939183	0.006971593	0.015763966	0.013785973	0.014064641	0.004977353	0.00567698	0.00856311	0.009104732	0.009906697	0.010979273	0.009302792	0.012429598	0.006407053	0.014381118	0.006755192	0.00329935	0.009084302	0.012749881	0.013482177	0.010449633	0.010075567	0.006793594	0.011578669	0.006200877
386	0.010038615	0.009171329	0.006465657	0.017641912	0.013858093	0.011798081	0.024195854	0.006892986	0.028531129	0.011199044	0.022707919	0.022264086	0.012746624	0.012608523	0.024311247	0.017889984	0.014760148	0.02178398	0.018875217	0.020265576	0.018146425	0.022710756	0.012749881	0.024267918	0.023138473	0.01511335	0.013587187	0.016540955	0.013176865
387	0.004015446	0.004168786	0.000718406	0.002117029	0	0.002145106	0.003666039	0.002757195	0.00522401	0	0.000946163	0.005994177	0.00273142	0.001801218	0.001568468	0.002862397	0.00233055	0.002562821	0.005392919	0.002895082	0.000824838	0.000567769	0.005368371	0.006066979	0.003732012	0.002015113	0	0.001654096	0.001550219
388	0.061570173	0.040020344	0.043104377	0.028932735	0.037614824	0.034857967	0.036660386	0.034464932	0.045810545	0.03608581	0.034061879	0.054803905	0.051896971	0.044129832	0.063522935	0.037211166	0.043503593	0.046771486	0.031458695	0.020265576	0.031343825	0.040311592	0.03690755	0.07482608	0.060085388	0.036775819	0.044158359	0.02977372	0.025578619
389	1.541262055	1.247300711	1.428910106	1.563779039	1.193775736	1.139051113	1.331138598	1.24556264	1.645563008	0.834950973	0.923455388	1.340983045	1.197272222	1.171692064	1.584152204	1.653750098	1.333074383	1.303194557	1.0731909	0.988188065	0.682140618	0.894803779	1.427315613	1.760772259	1.586851376	1.343576826	1.435146657	0.878324732	0.837893562
