"amendment"	"Soil_type"	"Treatment"	"Time"	"CO2flux"	"N2Oflux"	"CH4flux"	"NO3"	"NH4"	"TotalCadded"	"TotalNadded"	"pH"	"OM"	"gravimetricSM"	"nosZII"	"nosZI"	"fnirk"	"nirK"	"nirS"	"aoa"	"aob"	"pmoa"	"mcra"	"nifH"	"plant_heights"	"plant_leveas"	"plant_weight"
"X65dsandCCfeb1"	"Ccfeb"	"sandy"	"No_plant"	65	0.024641333	0.019112034	-0.082933488	122.81	5.39	NA	NA	5.45	4.98	15.27297858	1.564619535	31.24643942	0.939546236	2.344930315	0.43567634	0.688084034	2.775094594	1.547102799	1.827400082	1.259922408	NA	NA	NA
"X65dsandCCfeb2"	"Ccfeb"	"sandy"	"No_plant"	65	-0.017359939	-0.006795168	0.018250988	152.17	3.76	NA	NA	5.59	4.98	15.05986137	3.134631851	27.88614554	1.096549698	4.713944795	0.735676243	0.995631201	3.234626329	5.448573577	1.919160654	2.172083248	NA	NA	NA
"X65dsandCCfeb4"	"Ccfeb"	"sandy"	"No_plant"	65	0.019472054	0.021541166	-0.06210436	172.7	5.37	NA	NA	5.73	5.05	20.79787234	2.384033481	11.64326074	0.896155151	2.606601908	0.588676923	0.319345648	6.049346535	2.491945403	2.475051741	1.866769111	NA	NA	NA
"X65dsandDCP1"	"DC"	"sandy"	"wheat"	65	-0.195250565	0.020801126	-0.02200019	2.84	1.35	NA	NA	5.44	4.84	18.34677419	1.86453269	11.77937182	0.341258037	1.487868775	0.535595378	0.887839311	0.852777224	12.78236031	30.96501761	1.37609762	28.875	14.25	9.04
"X65dsandCCfeb3"	"Ccfeb"	"sandy"	"No_plant"	65	0.015126819	0.028571546	-0.058640173	90.12	6.74	NA	NA	5.75	5.08	17.60851761	2.256004488	10.20564951	0.467909661	2.929044081	0.734279488	0.496246757	3.092414613	1.73741028	1.825383056	1.46122999	NA	NA	NA
"X65dsandDCP3"	"DC"	"sandy"	"wheat"	65	-0.1533883	0.006852471	-0.026474433	0.19	0.35	NA	NA	5.46	5.1	16.69439823	1.473722746	7.069625514	0.320039266	2.242100377	0.538149169	0.786845402	0.656466648	15.1508576	27.13266899	1.20602654	28	13.5	8.86
"X65dsandDCP2"	"DC"	"sandy"	"wheat"	65	-0.194180507	-0.018802017	0.009765528	0.49	0.56	NA	NA	5.37	4.77	15.34795043	1.754045647	7.941894156	0.340323894	2.071158391	0.694033461	0.754658838	0.831708705	8.512199698	28.09016387	1.299809743	29	14.5	9.06
"X65dsandDCP4"	"DC"	"sandy"	"wheat"	65	0.178579663	0.014090762	0.010840587	0.18	0.55	NA	NA	5.44	5.11	14.71471471	1.312376111	17.36144266	0.332423343	1.759496838	0.569442315	0.798335516	0.749242223	3.229720113	12.05400089	1.077515541	27.75	12.75	8.84
"X65dsandSCP3"	"SC"	"sandy"	"wheat"	65	-0.420752767	0.033807829	-0.013206715	0.11	1.67	NA	NA	5.6	5.35	11.02783726	1.818264223	7.758322377	0.277698445	2.194005734	0.450684798	0.929619437	1.703085725	9.736662532	27.68626068	1.679629993	35.375	32.75	18.35
"X65dsandSCP4"	"SC"	"sandy"	"wheat"	65	-0.376620379	0.026041409	-0.030061627	0.03	1.2	NA	NA	5.58	4.98	11.97511664	6.544606018	135.187136	1.428262002	45.64846956	5.296752134	0.850453782	3.520428686	42.89523151	199.6471693	6.017800731	35.25	31.5	16.87
"X65dsandCCnovP2"	"Ccnov"	"sandy"	"wheat"	65	-0.438653736	0.059683229	-0.087507735	0.12	0.98	NA	NA	5.81	4.86	6.349206349	2.941152329	8.729506978	1.511819852	6.519992918	0.500032615	0.550161178	1.923335369	8.555131595	1.905723184	2.731333199	38.5	62.5	23.75
"X65dsandCCnovP3"	"Ccnov"	"sandy"	"wheat"	65	-0.399341608	0.090110876	-0.110465977	0.19	1.8	NA	NA	5.89	5.08	7.397504456	2.371760081	5.699066209	1.480336433	5.18415998	0.550096544	0.437359567	1.168782386	4.290872219	1.63579107	2.153729738	38.875	61.25	24.12
"X65dsandCCfebP2"	"Ccfeb"	"sandy"	"wheat"	65	-0.459514864	-0.016740906	-0.037382023	0.24	1.29	NA	NA	5.77	5	4.137931034	2.509759403	22.84368535	0.68232317	4.378876521	0.850707305	0.791410293	2.267532652	4.757461227	1.771399617	2.094532899	38.75	58.75	25.23
"X65dsandCCfebP4"	"Ccfeb"	"sandy"	"wheat"	65	-0.451634438	0.006579456	-0.00868047	0.1	1.92	NA	NA	5.83	4.91	9.081419624	2.535730711	20.66348645	0.703592845	4.928323056	0.87520645	0.884167252	2.21298694	6.795337867	2.745257634	2.300692247	38.625	49	24.45
"X65dsandMFP3"	"MF"	"sandy"	"wheat"	65	-0.407272037	0.01978107	-0.004166225	0.17	1.23	NA	NA	5.64	4.85	9.006928406	1.413585879	4.760834944	0.332550603	1.985008188	1.144834246	1.108680461	0.888307856	2.572377715	1.672711021	1.186333954	33.875	36.75	19.53
"X65dsandMFP4"	"MF"	"sandy"	"wheat"	65	-0.406702007	0.004459441	0.017104926	0.2	1.2	NA	NA	5.62	5.02	7.4222668	1.385748003	5.113881947	0.301651827	2.163507424	0.27073709	1.037892158	0.884353436	1.620273571	1.579806754	1.267741381	34.25	37.75	18.69
"X65dsandcontrol1"	"control65"	"sandy"	"No_plant"	65	-0.028015516	0.040232177	0.00481246	15.57	1.42	NA	NA	5.7	4.66	14.53133666	0.374370237	0.085542645	0.248733712	1.75579762	0.555330932	0.612357312	0.649210227	0.693202386	3.224798871	0.925946052	NA	NA	NA
"X65dsandSC3"	"SC"	"sandy"	"No_plant"	65	-0.057073088	0.020600115	-0.169969197	6.23	3.94	NA	NA	5.22	4.69	13.50277998	3.104956751	15.97250103	1.060654394	4.010525835	2.193694367	0.416963254	2.957746929	20.83273964	137.9948495	1.533782496	NA	NA	NA
"X65dsandSCP2"	"SC"	"sandy"	"wheat"	65	-0.522608278	0.037678039	-0.002577439	0.23	1.46	NA	NA	5.63	5.19	11.29431162	1.936571336	6.428322232	0.418762503	2.081516291	0.978378591	0.80487956	1.712191639	9.845039626	49.63032009	1.450359376	35.625	36	17.93
"X65dsandCCfebP1"	"Ccfeb"	"sandy"	"wheat"	65	-0.305046506	0.038532085	-0.010778583	0.31	1.67	NA	NA	5.72	4.78	5.348460292	1.604669603	20.95216553	0.676874479	3.936152086	2.056398962	0.575565975	2.190059227	3.565696712	1.702611042	1.654191937	38.375	58.75	24.12
"X65dsandSC2"	"SC"	"sandy"	"No_plant"	65	-0.042906322	0.029069573	-0.060234259	13	9.77	NA	NA	5.3	4.73	13.66024518	4.3050631	83.02292987	1.315316173	6.970909894	12.90826894	0.521768811	2.743996668	18.31875585	213.7076681	2.210435786	NA	NA	NA
